9.992007221626408864e-16 1.115595863602854346e-15
-3.075616150649551628e-09 2.212186634078405794e-05
2.955285738348578661e-10 4.926163039836985928e-05
3.565683859285684321e-10 5.125958114931830286e-05
-3.879252280514222662e-09 5.472290098353454032e-05
2.145476046822025751e-09 1.158697877083223414e-04
-1.101055691066221698e-09 1.195582046816993878e-04
-1.185432141337372514e-09 1.346949984435146961e-04
-1.338512023441040810e-09 1.192283752716339219e-04
7.895561981996479517e-11 1.923235719502480083e-04
4.184184998479167916e-09 2.513300279857708401e-04
3.071675136467888478e-09 2.219678219465615380e-04
8.150230490500121050e-09 2.234567278201941918e-04
2.188014242010538624e-09 2.276666379547882379e-04
5.275392789272359551e-09 2.068723550450555105e-04
1.029817703335211831e-08 3.175350665101033345e-04
3.203638743176639991e-10 2.832961102037136062e-04
2.334983995044837002e-08 4.010971056670801734e-04
1.507415128831901541e-08 3.783227660153849130e-04
1.962800949550924656e-08 3.653648816702790691e-04
2.722244096808879021e-08 4.549852463005259087e-04
2.560100617610139295e-08 4.119088818800060873e-04
4.163761224695861074e-08 4.725491001857098309e-04
6.366448951355963004e-09 2.837148832423757368e-04
3.421696218031122783e-08 4.528921191101952719e-04
4.251574770020027927e-08 5.361042655687995109e-04
3.374960003132976283e-08 4.925804927238420367e-04
2.924576222862462771e-08 5.083380026649382544e-04
2.748302121990953140e-08 4.801962782821200121e-04
6.967014384851033526e-08 7.988710675391873933e-04
5.274674699795589561e-08 6.212359622209528021e-04
7.860079070942660451e-08 6.980946566567420176e-04
2.535670035053172455e-08 5.597897814061720710e-04
1.114197735185840088e-07 8.597660434766430564e-04
9.298067113472363587e-08 8.680889787640300431e-04
2.411792662804224108e-08 4.097516157044332665e-04
1.021102430942555372e-07 8.079646348282242679e-04
8.549009899994075568e-08 8.402398490236606243e-04
6.863089782593867483e-08 7.227790622285057680e-04
9.808949133494060391e-08 8.162275451656413527e-04
9.567492617601480731e-08 8.062496744159091712e-04
1.321977975143884265e-07 1.100481625811948645e-03
1.130979655761255032e-07 9.745096827075338738e-04
1.390284037339206691e-07 1.116199359700304709e-03
